,AG.SHF,AL.SHF,AP.CZC,BU.SHF,C.DCE,CU.SHF,FG.CZC,FU.SHF,HC.SHF,I.DCE,J.DCE,JM.DCE,L.DCE,M.DCE,MA.CZC,NI.SHF,PP.DCE,RB.SHF,RM.CZC,RU.SHF,SC.INE,SR.CZC,TA.CZC,V.DCE,ZC.CZC
2013-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14,-129.0,0.0,0.0,0.0,0.0,0.0,-434.0,0.0,0.0,0.0,71.0,0.0,237.0,0.0,0.0,0.0,0.0,318.0,-498.0,49.0,0.0,-224.0,0.0,0.0,0.0
2013-01-15,-129.0,0.0,0.0,0.0,0.0,0.0,-416.0,0.0,0.0,0.0,0.0,0.0,235.0,-372.0,0.0,0.0,0.0,0.0,-492.0,48.0,0.0,224.0,293.0,0.0,0.0
2013-01-16,-127.0,0.0,0.0,0.0,0.0,0.0,-418.0,0.0,0.0,0.0,69.0,0.0,0.0,-371.0,0.0,0.0,0.0,0.0,-488.0,49.0,0.0,226.0,298.0,0.0,0.0
2013-01-17,-126.0,0.0,0.0,0.0,0.0,0.0,-417.0,0.0,0.0,0.0,0.0,0.0,0.0,-367.0,0.0,0.0,0.0,318.0,-483.0,49.0,0.0,225.0,298.0,0.0,0.0
2013-01-18,-127.0,0.0,0.0,0.0,0.0,0.0,-415.0,0.0,0.0,0.0,0.0,0.0,0.0,-370.0,0.0,0.0,0.0,317.0,-486.0,49.0,0.0,227.0,297.0,0.0,0.0
