date,MEG
2003/1/3,5475
2003/1/6,5750
2003/1/7,5750
2003/1/8,5850
2003/1/9,5950
2003/1/10,5950
2003/1/13,6350
2003/1/14,6350
2003/1/15,6350
2003/1/16,6350
2003/1/17,6350
2003/1/20,6650
2003/1/21,6650
2003/1/22,6650
2003/1/23,6750
2003/1/24,6750
2003/1/27,6900
2003/1/28,6900
2003/1/29,6900
2003/1/30,6925
2003/1/31,6925
2003/2/10,7600
2003/2/11,7600
2003/2/12,7600
2003/2/13,7650
2003/2/14,7650
2003/2/17,7700
2003/2/18,7700
2003/2/19,7700
2003/2/20,7700
2003/2/21,7700
2003/2/24,7650
2003/2/25,7650
2003/2/26,7525
2003/2/27,7525
2003/2/28,7525
2003/3/3,7350
2003/3/4,7350
2003/3/5,7350
2003/3/6,7275
2003/3/7,7275
2003/3/10,7450
2003/3/11,7450
2003/3/12,7450
2003/3/13,7550
2003/3/14,7600
2003/3/17,7650
2003/3/18,7650
2003/3/19,7650
2003/3/20,7675
2003/3/21,7675
2003/3/24,7425
2003/3/25,7425
2003/3/26,7250
2003/3/27,7075
2003/3/28,6900
2003/3/31,6800
2003/4/1,6800
2003/4/2,6800
2003/4/3,6600
2003/4/4,6550
2003/4/7,6350
2003/4/8,6350
2003/4/9,6000
2003/4/10,5700
2003/4/11,5700
2003/4/14,5600
2003/4/15,5600
2003/4/16,5600
2003/4/17,5600
2003/4/18,5600
2003/4/21,5700
2003/4/22,5700
2003/4/23,5550
2003/4/24,5500
2003/4/25,5350
2003/4/28,5150
2003/4/29,4900
2003/4/30,4850
2003/5/6,4750
2003/5/7,4600
2003/5/8,4550
2003/5/9,4550
2003/5/12,4550
2003/5/13,4650
2003/5/14,4750
2003/5/15,4850
2003/5/16,5050
2003/5/19,5200
2003/5/20,5150
2003/5/21,5150
2003/5/22,5150
2003/5/23,5225
2003/5/26,5650
2003/5/28,6100
2003/5/29,6200
2003/5/30,6200
2003/6/2,6450
2003/6/3,6450
2003/6/4,6250
2003/6/5,6050
2003/6/6,6050
2003/6/9,6050
2003/6/10,6150
2003/6/11,6250
2003/6/12,6350
2003/6/13,6450
2003/6/16,6600
2003/6/17,6650
2003/6/18,6650
2003/6/19,6650
2003/6/20,6650
2003/6/23,6650
2003/6/24,6650
2003/6/25,6650
2003/6/26,6675
2003/6/27,6675
2003/6/30,6575
2003/7/1,6575
2003/7/2,6525
2003/7/3,6525
2003/7/4,6525
2003/7/8,6650
2003/7/9,6700
2003/7/10,6700
2003/7/11,6775
2003/7/14,6850
2003/7/15,6900
2003/7/16,6950
2003/7/17,6975
2003/7/18,6975
2003/7/21,7050
2003/7/22,7125
2003/7/23,7125
2003/7/24,7125
2003/7/25,7125
2003/7/28,7025
2003/7/29,7025
2003/7/30,7025
2003/7/31,6975
2003/8/1,6975
2003/8/4,6950
2003/8/5,6950
2003/8/6,6975
2003/8/7,7050
2003/8/8,7050
2003/8/11,7175
2003/8/12,7175
2003/8/13,7250
2003/8/14,7225
2003/8/15,7225
2003/8/18,7225
2003/8/19,7225
2003/8/20,7175
2003/8/21,7150
2003/8/22,7150
2003/8/25,7100
2003/8/26,7100
2003/8/27,7100
2003/8/28,7075
2003/8/29,7075
2003/9/1,7075
2003/9/3,7075
2003/9/4,7100
2003/9/5,7050
2003/9/8,7050
2003/9/9,7050
2003/9/10,7050
2003/9/11,7000
2003/9/12,7000
2003/9/15,7000
2003/9/16,6925
2003/9/17,6925
2003/9/18,6825
2003/9/19,6825
2003/9/22,6825
2003/9/23,6850
2003/9/24,6875
2003/9/25,6875
2003/9/26,6875
2003/9/29,6800
2003/9/30,6800
2003/10/8,6800
2003/10/9,6825
2003/10/10,6900
2003/10/13,6950
2003/10/14,7000
2003/10/15,7025
2003/10/16,7050
2003/10/17,7050
2003/10/20,7050
2003/10/21,7050
2003/10/22,7175
2003/10/23,7225
2003/10/24,7225
2003/10/27,7225
2003/10/28,7225
2003/10/29,7175
2003/10/30,7150
2003/10/31,7150
2003/11/3,7050
2003/11/4,7050
2003/11/5,7075
2003/11/6,7075
2003/11/7,7075
2003/11/10,7100
2003/11/11,7100
2003/11/12,7100
2003/11/13,7125
2003/11/14,7125
2003/11/17,7075
2003/11/18,7025
2003/11/19,7025
2003/11/20,7025
2003/11/21,7025
2003/11/24,6975
2003/11/25,6900
2003/11/26,6850
2003/12/1,6750
2003/12/2,6750
2003/12/3,6750
2003/12/4,6700
2003/12/5,6700
2003/12/8,6725
2003/12/9,6775
2003/12/10,6775
2003/12/11,6825
2003/12/12,6925
2003/12/15,6950
2003/12/16,6950
2003/12/17,6950
2003/12/18,6975
2003/12/19,6975
2003/12/22,7125
2003/12/23,7125
2003/12/24,7175
2003/12/25,7200
2003/12/29,7325
2003/12/30,7325
2003/12/31,7300
2004/1/6,7400
2004/1/7,7400
2004/1/8,7500
2004/1/9,7675
2004/1/12,7950
2004/1/13,8050
2004/1/14,8050
2004/1/15,7975
2004/1/16,7975
2004/1/19,7925
2004/1/20,7925
2004/1/21,7925
2004/1/29,8175
2004/1/30,8275
2004/2/3,8450
2004/2/4,8400
2004/2/5,8400
2004/2/6,8325
2004/2/9,8325
2004/2/10,8325
2004/2/11,8350
2004/2/12,8375
2004/2/13,8375
2004/2/16,8350
2004/2/17,8325
2004/2/18,8200
2004/2/19,8100
2004/2/20,8000
2004/2/23,7950
2004/2/24,7975
2004/2/25,8025
2004/2/26,8025
2004/2/27,8050
2004/3/1,8075
2004/3/2,8025
2004/3/3,7975
2004/3/4,8000
2004/3/5,7975
2004/3/8,7950
2004/3/9,7975
2004/3/10,8025
2004/3/11,8025
2004/3/12,8075
2004/3/15,8175
2004/3/16,8225
2004/3/17,8275
2004/3/18,8300
2004/3/19,8300
2004/3/22,8275
2004/3/23,8275
2004/3/24,8350
2004/3/25,8350
2004/3/26,8500
2004/3/29,8500
2004/3/30,8500
2004/3/31,8500
2004/4/1,8600
2004/4/2,8600
2004/4/5,8650
2004/4/6,8750
2004/4/7,8800
2004/4/8,8825
2004/4/9,8825
2004/4/12,8900
2004/4/13,8900
2004/4/14,8875
2004/4/15,8825
2004/4/16,8750
2004/4/19,8750
2004/4/20,8750
2004/4/21,8725
2004/4/22,8725
2004/4/23,8725
2004/4/26,8725
2004/4/27,8725
2004/4/28,8775
2004/4/29,8775
2004/4/30,8775
2004/5/10,8725
2004/5/11,8700
2004/5/12,8700
2004/5/13,8675
2004/5/14,8675
2004/5/17,8675
2004/5/18,8675
2004/5/19,8700
2004/5/20,8700
2004/5/21,8725
2004/5/24,8725
2004/5/25,8775
2004/5/26,8725
2004/5/27,8725
2004/5/28,8725
2004/5/31,8725
2004/6/2,8675
2004/6/3,8715
2004/6/4,8715
2004/6/7,8715
2004/6/8,8715
2004/6/9,8715
2004/6/10,8675
2004/6/11,8675
2004/6/15,8675
2004/6/16,8675
2004/6/17,8675
2004/6/18,8675
2004/6/21,8690
2004/6/22,8690
2004/6/23,8690
2004/6/24,8690
2004/6/25,8690
2004/6/28,8715
2004/6/29,8715
2004/6/30,8715
2004/7/1,8740
2004/7/2,8740
2004/7/5,8775
2004/7/7,8775
2004/7/8,8825
2004/7/9,8825
2004/7/12,8825
2004/7/13,8925
2004/7/14,8925
2004/7/15,8950
2004/7/16,8950
2004/7/19,9075
2004/7/20,9150
2004/7/21,9275
2004/7/22,9275
2004/7/23,9275
2004/7/26,9450
2004/7/27,9500
2004/7/28,9500
2004/7/29,9500
2004/7/30,9500
2004/8/2,9500
2004/8/3,9500
2004/8/4,9500
2004/8/5,9575
2004/8/6,9575
2004/8/9,9900
2004/8/10,10000
2004/8/11,10050
2004/8/12,10150
2004/8/13,10450
2004/8/16,10600
2004/8/17,10600
2004/8/18,10600
2004/8/19,10650
2004/8/20,10750
2004/8/23,11050
2004/8/24,11550
2004/8/25,11850
2004/8/26,11800
2004/8/27,11800
2004/8/30,11950
2004/8/31,11950
2004/9/1,11750
2004/9/2,11750
2004/9/3,11750
2004/9/6,11550
2004/9/8,11550
2004/9/9,11500
2004/9/10,11350
2004/9/13,11150
2004/9/14,11150
2004/9/15,11150
2004/9/16,11200
2004/9/17,11200
2004/9/20,11325
2004/9/21,11325
2004/9/22,11325
2004/9/23,11325
2004/9/24,11325
2004/9/27,11325
2004/9/28,11275
2004/9/29,11275
2004/9/30,11275
2004/10/8,11475
2004/10/9,11650
2004/10/11,11850
2004/10/12,11850
2004/10/13,11875
2004/10/14,11875
2004/10/15,11825
2004/10/18,11875
2004/10/19,11865
2004/10/20,11825
2004/10/21,11800
2004/10/22,11800
2004/10/25,11800
2004/10/26,11775
2004/10/27,11675
2004/10/28,11675
2004/10/29,11675
2004/11/1,11605
2004/11/2,11525
2004/11/3,11475
2004/11/4,11475
2004/11/5,11475
2004/11/8,11525
2004/11/9,11525
2004/11/10,11500
2004/11/11,11500
2004/11/12,11350
2004/11/15,11325
2004/11/16,11250
2004/11/17,11175
2004/11/18,11100
2004/11/19,11050
2004/11/22,10925
2004/11/23,10925
2004/11/24,10775
2004/11/25,10775
2004/11/30,10700
2004/12/1,10650
2004/12/2,10525
2004/12/3,10500
2004/12/6,10050
2004/12/7,9950
2004/12/8,9850
2004/12/9,9625
2004/12/10,9550
2004/12/13,9150
2004/12/14,8975
2004/12/15,8750
2004/12/16,8550
2004/12/17,8650
2004/12/20,8775
2004/12/21,8775
2004/12/22,8775
2004/12/23,8775
2004/12/24,8850
2004/12/28,9025
2004/12/29,9250
2004/12/30,9250
2004/12/31,9250
2005/1/4,9800
2005/1/5,10100
2005/1/6,10200
2005/1/7,10200
2005/1/10,10150
2005/1/11,10150
2005/1/12,9965
2005/1/13,10025
2005/1/14,9925
2005/1/17,10025
2005/1/19,10225
2005/1/20,10225
2005/1/21,10225
2005/1/24,10400
2005/1/25,10750
2005/1/26,10725
2005/1/27,10650
2005/1/28,10650
2005/1/31,10715
2005/2/1,10750
2005/2/2,10725
2005/2/3,10725
2005/2/4,10725
2005/2/7,10825
2005/2/8,10825
2005/2/16,10975
2005/2/17,11025
2005/2/18,11025
2005/2/21,11075
2005/2/23,10925
2005/2/24,10925
2005/2/25,10850
2005/2/28,10825
2005/3/1,10825
2005/3/2,10775
2005/3/3,10725
2005/3/4,10775
2005/3/7,10800
2005/3/8,10875
2005/3/9,10875
2005/3/10,10875
2005/3/11,10875
2005/3/14,10850
2005/3/15,10850
2005/3/16,10700
2005/3/17,10725
2005/3/18,10725
2005/3/21,10575
2005/3/22,10525
2005/3/23,10525
2005/3/24,10525
2005/3/25,10450
2005/3/29,10425
2005/3/30,10400
2005/3/31,10250
2005/4/1,10050
2005/4/4,10075
2005/4/5,9950
2005/4/6,9775
2005/4/7,9800
2005/4/8,9800
2005/4/11,9775
2005/4/12,9775
2005/4/13,9775
2005/4/14,9525
2005/4/15,9525
2005/4/18,9325
2005/4/19,9225
2005/4/20,9100
2005/4/21,9025
2005/4/22,8825
2005/4/25,8625
2005/4/26,8700
2005/4/27,8700
2005/4/28,8500
2005/4/29,8250
2005/5/9,7650
2005/5/11,7150
2005/5/12,7050
2005/5/13,6725
2005/5/16,6625
2005/5/17,6700
2005/5/18,7350
2005/5/19,7500
2005/5/20,7250
2005/5/23,6775
2005/5/24,6675
2005/5/25,6700
2005/5/26,6950
2005/5/27,6950
2005/5/30,6925
2005/6/1,7050
2005/6/2,7200
2005/6/3,7200
2005/6/6,7275
2005/6/7,7225
2005/6/8,7225
2005/6/9,7225
2005/6/10,7275
2005/6/13,7475
2005/6/14,7650
2005/6/15,7725
2005/6/16,7650
2005/6/17,7700
2005/6/20,8050
2005/6/21,8150
2005/6/22,7900
2005/6/23,7725
2005/6/24,7775
2005/6/27,7750
2005/6/28,7775
2005/6/29,7875
2005/6/30,7925
2005/7/1,7875
2005/7/4,8050
2005/7/6,8025
2005/7/7,8000
2005/7/8,8000
2005/7/11,7925
2005/7/12,7925
2005/7/13,7825
2005/7/14,7825
2005/7/15,7725
2005/7/18,7675
2005/7/19,7675
2005/7/20,7675
2005/7/21,7675
2005/7/22,7725
2005/7/25,7725
2005/7/26,7725
2005/7/27,7825
2005/7/28,7875
2005/7/29,7825
2005/8/1,7875
2005/8/2,7925
2005/8/3,7925
2005/8/4,7975
2005/8/5,7975
2005/8/8,8025
2005/8/9,8075
2005/8/10,8125
2005/8/11,8175
2005/8/12,8225
2005/8/15,8325
2005/8/16,8325
2005/8/17,8325
2005/8/18,8200
2005/8/19,8190
2005/8/22,8175
2005/8/23,8075
2005/8/24,8125
2005/8/25,8075
2005/8/26,8125
2005/8/29,8175
2005/8/30,8175
2005/8/31,8250
2005/9/1,8375
2005/9/2,8550
2005/9/5,8700
2005/9/7,8525
2005/9/8,8525
2005/9/9,8625
2005/9/12,8675
2005/9/13,8650
2005/9/14,8650
2005/9/15,8625
2005/9/16,8625
2005/9/19,8625
2005/9/20,8575
2005/9/21,8525
2005/9/22,8425
2005/9/23,8350
2005/9/26,8275
2005/9/27,8350
2005/9/28,8375
2005/9/29,8400
2005/9/30,8400
2005/10/10,8950
2005/10/11,8825
2005/10/12,8725
2005/10/13,8625
2005/10/14,8600
2005/10/17,8425
2005/10/18,8375
2005/10/19,8375
2005/10/20,8325
2005/10/21,8225
2005/10/24,8175
2005/10/25,8125
2005/10/26,8025
2005/10/27,7925
2005/10/28,7925
2005/10/31,7900
2005/11/2,7900
2005/11/4,7950
2005/11/7,7925
2005/11/8,7925
2005/11/9,7925
2005/11/10,7825
2005/11/11,7750
2005/11/14,7625
2005/11/15,7550
2005/11/16,7550
2005/11/17,7625
2005/11/18,7600
2005/11/21,7625
2005/11/22,7650
2005/11/23,7650
2005/11/24,7675
2005/11/29,7675
2005/11/30,7650
2005/12/1,7625
2005/12/2,7575
2005/12/5,7625
2005/12/6,7625
2005/12/7,7675
2005/12/8,7725
2005/12/9,7775
2005/12/12,7825
2005/12/13,7950
2005/12/14,7975
