日期,国产重交-长三角
2014/11/10,4225
2014/11/11,4200
2014/11/12,4200
2014/11/13,4200
2014/11/14,4200
2014/11/17,4175
2014/11/18,4175
2014/11/19,4100
2014/11/20,4100
2014/11/21,4100
2014/11/24,4100
2014/11/25,4100
2014/11/26,4100
2014/11/27,4100
2014/11/28,4100
2014/12/1,3975
2014/12/2,3975
2014/12/3,3975
2014/12/4,3975
2014/12/5,3975
2014/12/8,3975
2014/12/9,3975
2014/12/10,3900
2014/12/11,3900
2014/12/12,3900
2014/12/15,3825
2014/12/16,3825
2014/12/17,3700
2014/12/18,3625
2014/12/19,3575
2014/12/22,3575
2014/12/23,3575
2014/12/24,3575
2014/12/25,3575
2014/12/26,3575
2014/12/29,3525
2014/12/30,3525
2014/12/31,3500
2015/1/5,3400
2015/1/6,3325
2015/1/7,3325
2015/1/8,3275
2015/1/9,3225
2015/1/12,3225
2015/1/13,3150
2015/1/14,3125
2015/1/15,3125
2015/1/16,3025
2015/1/19,3025
2015/1/20,3025
2015/1/21,3025
2015/1/22,3000
2015/1/23,3000
2015/1/26,3000
2015/1/27,3000
2015/1/28,3000
2015/1/29,3000
2015/1/30,3000
2015/2/2,2725
2015/2/3,2725
2015/2/4,2725
2015/2/5,2675
2015/2/6,2675
2015/2/9,2675
2015/2/10,2675
2015/2/11,2675
2015/2/12,2675
2015/2/13,2675
2015/2/16,2675
2015/2/17,2675
2015/2/25,2675
2015/2/26,2675
2015/2/27,2675
2015/3/2,2675
2015/3/3,2700
2015/3/4,2700
2015/3/5,2800
2015/3/6,2850
2015/3/9,2850
2015/3/10,2875
2015/3/11,2875
2015/3/12,2875
2015/3/13,2875
2015/3/16,2875
2015/3/17,2875
2015/3/18,2950
2015/3/19,2950
2015/3/20,2975
2015/3/23,2975
2015/3/24,2975
2015/3/25,2975
2015/3/26,3025
2015/3/27,3025
2015/3/30,3050
2015/3/31,3100
2015/4/1,3100
2015/4/2,3100
2015/4/3,3100
2015/4/7,3100
2015/4/8,3100
2015/4/9,3100
2015/4/10,3100
2015/4/13,3100
2015/4/14,3100
2015/4/15,3100
2015/4/16,3100
2015/4/17,3100
2015/4/20,3150
2015/4/21,3150
2015/4/22,3150
2015/4/23,3150
2015/4/24,3150
2015/4/27,3150
2015/4/28,3150
2015/4/29,3150
2015/4/30,3150
2015/5/4,3150
2015/5/5,3150
2015/5/6,3150
2015/5/7,3150
2015/5/8,3150
2015/5/11,3150
2015/5/12,3150
2015/5/13,3150
2015/5/14,3150
2015/5/15,3150
2015/5/18,3150
2015/5/19,3150
2015/5/20,3150
2015/5/21,3150
2015/5/22,3150
2015/5/25,3150
2015/5/26,3150
2015/5/27,3150
2015/5/28,3100
2015/5/29,3100
2015/6/1,3100
2015/6/2,3100
2015/6/3,3100
2015/6/4,3100
2015/6/5,3100
2015/6/8,3100
2015/6/9,3100
2015/6/10,3100
2015/6/11,3100
2015/6/12,3100
2015/6/15,3100
2015/6/16,3100
2015/6/17,3100
2015/6/18,3100
2015/6/19,3100
2015/6/23,3100
2015/6/24,3100
2015/6/25,3100
2015/6/26,3100
2015/6/29,3100
2015/6/30,3100
2015/7/1,3075
2015/7/2,3075
2015/7/3,3050
2015/7/6,3050
2015/7/7,3050
2015/7/8,3050
2015/7/9,3050
2015/7/10,3050
2015/7/13,3050
2015/7/14,3050
2015/7/15,3000
2015/7/16,2950
2015/7/17,2950
2015/7/20,2950
2015/7/21,2950
2015/7/22,2950
2015/7/23,2950
2015/7/24,2950
2015/7/27,2950
2015/7/28,2950
2015/7/29,2950
2015/7/30,2950
2015/7/31,2925
2015/8/3,2875
2015/8/4,2875
2015/8/5,2875
2015/8/6,2825
2015/8/7,2825
2015/8/10,2825
2015/8/11,2825
2015/8/12,2825
2015/8/13,2825
2015/8/14,2825
2015/8/17,2825
2015/8/18,2825
2015/8/19,2825
2015/8/20,2825
2015/8/21,2825
2015/8/24,2825
2015/8/25,2825
2015/8/26,2825
2015/8/27,2825
2015/8/28,2825
2015/8/31,2825
2015/9/1,2825
2015/9/2,2825
2015/9/7,2800
2015/9/8,2800
2015/9/9,2800
2015/9/10,2800
2015/9/11,2800
2015/9/14,2800
2015/9/15,2800
2015/9/16,2800
2015/9/17,2800
2015/9/18,2800
2015/9/21,2800
2015/9/22,2800
2015/9/23,2800
2015/9/24,2800
2015/9/25,2800
2015/9/28,2800
2015/9/29,2800
2015/9/30,2800
2015/10/8,2750
2015/10/9,2750
2015/10/12,2750
2015/10/13,2700
2015/10/14,2700
2015/10/15,2700
2015/10/16,2700
2015/10/19,2700
2015/10/20,2650
2015/10/21,2650
2015/10/22,2650
2015/10/23,2650
2015/10/26,2650
2015/10/27,2650
2015/10/28,2650
2015/10/29,2650
2015/10/30,2650
2015/11/2,2650
2015/11/3,2650
2015/11/4,2650
2015/11/5,2650
2015/11/6,2650
2015/11/9,2650
2015/11/10,2600
2015/11/11,2600
2015/11/12,2600
2015/11/13,2600
2015/11/16,2575
2015/11/17,2550
2015/11/18,2550
2015/11/19,2500
2015/11/20,2475
2015/11/23,2475
2015/11/24,2425
2015/11/25,2425
2015/11/26,2425
2015/11/27,2425
2015/11/30,2375
2015/12/1,2300
2015/12/2,2300
2015/12/3,2300
2015/12/4,2300
2015/12/7,2300
2015/12/8,2300
2015/12/9,2300
2015/12/10,2300
2015/12/11,2150
2015/12/14,2150
2015/12/15,2150
2015/12/16,2150
2015/12/17,2150
2015/12/18,2150
2015/12/21,2075
2015/12/22,2075
2015/12/23,2075
2015/12/24,2075
2015/12/25,2050
2015/12/28,2050
2015/12/29,1975
2015/12/30,1975
2015/12/31,1950
2016/1/4,1925
2016/1/5,1925
2016/1/6,1925
2016/1/7,1900
2016/1/8,1875
2016/1/11,1875
2016/1/12,1875
2016/1/13,1875
2016/1/14,1875
2016/1/15,1875
2016/1/18,1875
2016/1/19,1875
2016/1/20,1850
2016/1/21,1800
2016/1/22,1800
2016/1/25,1750
2016/1/26,1750
2016/1/27,1725
2016/1/28,1725
2016/1/29,1725
2016/2/1,1700
2016/2/2,1700
2016/2/3,1700
2016/2/4,1700
2016/2/5,1700
2016/2/15,1700
2016/2/16,1675
2016/2/17,1675
2016/2/18,1625
2016/2/19,1625
2016/2/22,1600
2016/2/23,1600
2016/2/24,1600
2016/2/25,1600
2016/2/26,1600
2016/2/29,1600
2016/3/1,1600
2016/3/2,1600
2016/3/3,1600
2016/3/4,1600
2016/3/7,1600
2016/3/8,1600
2016/3/9,1600
2016/3/10,1600
2016/3/11,1600
2016/3/14,1600
2016/3/15,1600
2016/3/16,1625
2016/3/17,1625
2016/3/18,1625
2016/3/21,1625
2016/3/22,1650
2016/3/23,1650
2016/3/24,1650
2016/3/25,1650
2016/3/28,1650
2016/3/29,1650
2016/3/30,1650
2016/3/31,1700
2016/4/1,1700
2016/4/5,1700
2016/4/6,1750
2016/4/7,1750
2016/4/8,1750
2016/4/11,1750
2016/4/12,1750
2016/4/13,1750
2016/4/14,1750
2016/4/15,1750
2016/4/18,1750
2016/4/19,1750
2016/4/20,1750
2016/4/21,1750
2016/4/22,1750
2016/4/25,1750
2016/4/26,1750
2016/4/27,1750
2016/4/28,1750
2016/4/29,1750
2016/5/3,1750
2016/5/4,1800
2016/5/5,1800
2016/5/6,1800
2016/5/9,1800
2016/5/10,1800
2016/5/11,1800
2016/5/12,1800
2016/5/13,1800
2016/5/16,1750
2016/5/17,1750
2016/5/18,1750
2016/5/19,1750
2016/5/20,1750
2016/5/23,1750
2016/5/24,1750
2016/5/25,1750
2016/5/26,1750
2016/5/27,1750
2016/5/30,1750
2016/5/31,1775
2016/6/1,1775
2016/6/2,1775
2016/6/3,1775
2016/6/6,1775
2016/6/7,1775
2016/6/8,1800
2016/6/13,1800
2016/6/14,1800
2016/6/15,1800
2016/6/16,1800
2016/6/17,1800
2016/6/20,1800
2016/6/21,1825
2016/6/22,1825
2016/6/23,1825
2016/6/24,1825
2016/6/27,1825
2016/6/28,1825
2016/6/29,1825
2016/6/30,1825
2016/7/1,1860
2016/7/4,1860
2016/7/5,1860
2016/7/6,1860
2016/7/7,1860
2016/7/8,1860
2016/7/11,1900
2016/7/12,1900
2016/7/13,1900
2016/7/14,1900
2016/7/15,1900
2016/7/18,1900
2016/7/19,1900
2016/7/20,1900
2016/7/21,1900
2016/7/22,1900
2016/7/25,1900
2016/7/26,1900
2016/7/27,1900
2016/7/28,1900
2016/7/29,1900
2016/8/1,1900
2016/8/2,1900
2016/8/3,1900
2016/8/4,1900
2016/8/5,1900
2016/8/8,1900
2016/8/9,1900
2016/8/10,1900
2016/8/11,1875
2016/8/12,1875
2016/8/15,1850
2016/8/16,1850
2016/8/17,1850
2016/8/18,1850
2016/8/19,1850
2016/8/22,1850
2016/8/23,1850
2016/8/24,1850
2016/8/25,1850
2016/8/26,1800
2016/8/29,1800
2016/8/30,1800
2016/8/31,1800
2016/9/1,1800
2016/9/2,1800
2016/9/5,1800
2016/9/6,1800
2016/9/7,1800
2016/9/8,1800
2016/9/9,1800
2016/9/12,1800
2016/9/13,1800
2016/9/14,1800
2016/9/19,1800
2016/9/20,1800
2016/9/21,1800
2016/9/22,1800
2016/9/23,1800
2016/9/26,1775
2016/9/27,1775
2016/9/28,1775
2016/9/29,1775
2016/9/30,1775
2016/10/10,1775
2016/10/11,1775
2016/10/12,1775
2016/10/13,1775
2016/10/14,1775
2016/10/17,1775
2016/10/18,1775
2016/10/19,1800
2016/10/20,1800
2016/10/21,1800
2016/10/24,1800
2016/10/25,1800
2016/10/26,1800
2016/10/27,1800
2016/10/28,1800
2016/10/31,1800
2016/11/1,1800
2016/11/2,1800
2016/11/3,1800
2016/11/4,1800
2016/11/7,1800
2016/11/8,1800
2016/11/9,1800
2016/11/10,1800
2016/11/11,1800
2016/11/14,1850
2016/11/15,1850
2016/11/16,1875
2016/11/17,1875
2016/11/18,1875
2016/11/21,1900
2016/11/22,1900
2016/11/23,1900
2016/11/24,1900
2016/11/25,1925
2016/11/28,1925
2016/11/29,1925
2016/11/30,1975
2016/12/1,1975
2016/12/2,1975
2016/12/5,2000
2016/12/6,2050
2016/12/7,2050
2016/12/8,2050
2016/12/9,2175
2016/12/12,2175
2016/12/13,2350
2016/12/14,2350
2016/12/15,2350
2016/12/16,2350
2016/12/19,2500
2016/12/20,2650
2016/12/21,2650
2016/12/22,2650
2016/12/23,2650
2016/12/26,2650
2016/12/27,2650
2016/12/28,2650
2016/12/29,2650
2016/12/30,2650
2017/1/3,2675
2017/1/4,2675
2017/1/5,2675
2017/1/6,2675
2017/1/9,2675
2017/1/10,2675
2017/1/11,2675
2017/1/12,2675
2017/1/13,2675
2017/1/16,2675
2017/1/17,2675
2017/1/18,2675
2017/1/19,2675
2017/1/20,2675
2017/1/23,2675
2017/1/24,2675
2017/1/25,2675
2017/1/26,2675
2017/2/3,2675
2017/2/6,2675
2017/2/7,2675
2017/2/8,2675
2017/2/9,2675
2017/2/10,2675
2017/2/13,2675
2017/2/14,2675
2017/2/15,2675
2017/2/16,2675
2017/2/17,2700
2017/2/20,2700
2017/2/21,2700
2017/2/22,2700
2017/2/23,2700
2017/2/24,2700
2017/2/27,2750
2017/2/28,2780
2017/3/1,2780
2017/3/2,2780
2017/3/3,2780
2017/3/6,2800
2017/3/7,2800
2017/3/8,2800
2017/3/9,2700
2017/3/10,2750
2017/3/13,2750
2017/3/14,2750
2017/3/15,2750
2017/3/16,2750
2017/3/17,2750
2017/3/20,2750
2017/3/21,2750
2017/3/22,2650
2017/3/23,2650
2017/3/24,2650
2017/3/27,2550
2017/3/28,2600
2017/3/29,2600
2017/3/30,2600
2017/3/31,2600
2017/4/5,2700
2017/4/6,2700
2017/4/7,2700
2017/4/10,2660
2017/4/11,2660
2017/4/12,2635
2017/4/13,2635
2017/4/14,2635
2017/4/17,2635
2017/4/18,2635
2017/4/19,2635
2017/4/20,2600
2017/4/21,2600
2017/4/24,2600
2017/4/25,2600
2017/4/26,2600
2017/4/27,2600
2017/4/28,2600
2017/5/2,2600
2017/5/3,2600
2017/5/4,2600
2017/5/5,2600
2017/5/8,2600
2017/5/9,2600
2017/5/10,2500
2017/5/11,2500
2017/5/12,2500
2017/5/15,2500
2017/5/16,2500
2017/5/17,2500
2017/5/18,2500
2017/5/19,2500
2017/5/22,2450
2017/5/23,2450
2017/5/24,2450
2017/5/25,2450
2017/5/26,2450
2017/5/31,2450
2017/6/1,2450
2017/6/2,2450
2017/6/5,2400
2017/6/6,2400
2017/6/7,2400
2017/6/8,2350
2017/6/9,2350
2017/6/12,2250
2017/6/13,2250
2017/6/14,2250
2017/6/15,2250
2017/6/16,2250
2017/6/19,2250
2017/6/20,2250
2017/6/21,2250
2017/6/22,2250
2017/6/23,2225
2017/6/26,2225
2017/6/27,2200
2017/6/28,2200
2017/6/29,2200
2017/6/30,2200
2017/7/3,2200
2017/7/4,2225
2017/7/5,2225
2017/7/6,2225
2017/7/7,2235
2017/7/10,2235
2017/7/11,2300
2017/7/12,2300
2017/7/13,2300
2017/7/14,2450
2017/7/17,2600
2017/7/18,2600
2017/7/19,2600
2017/7/20,2625
2017/7/21,2625
2017/7/24,2735
2017/7/25,2735
2017/7/26,2735
2017/7/27,2735
2017/7/28,2735
2017/7/31,2725
2017/8/1,2725
2017/8/2,2725
2017/8/3,2725
2017/8/4,2725
2017/8/7,2725
2017/8/8,2725
2017/8/9,2725
2017/8/10,2725
2017/8/11,2725
2017/8/14,2750
2017/8/15,2750
2017/8/16,2750
2017/8/17,2750
2017/8/18,2750
2017/8/21,2760
2017/8/22,2760
2017/8/23,2760
2017/8/24,2760
2017/8/25,2760
2017/8/28,2760
2017/8/29,2760
2017/8/30,2760
2017/8/31,2760
2017/9/1,2760
2017/9/4,2615
2017/9/5,2615
2017/9/6,2615
2017/9/7,2615
2017/9/8,2615
2017/9/11,2580
2017/9/12,2580
2017/9/13,2530
2017/9/14,2435
2017/9/15,2435
2017/9/18,2435
2017/9/19,2435
2017/9/20,2435
2017/9/21,2435
2017/9/22,2435
2017/9/25,2435
2017/9/26,2435
2017/9/27,2435
2017/9/28,2435
2017/9/29,2435
2017/10/9,2435
2017/10/10,2460
2017/10/11,2460
2017/10/12,2460
2017/10/13,2460
2017/10/16,2460
2017/10/17,2460
2017/10/18,2460
2017/10/19,2460
2017/10/20,2460
2017/10/23,2460
2017/10/24,2435
2017/10/25,2435
2017/10/26,2445
2017/10/27,2445
2017/10/30,2445
2017/10/31,2460
2017/11/1,2460
2017/11/2,2485
2017/11/3,2510
2017/11/6,2510
2017/11/7,2510
2017/11/8,2510
2017/11/9,2510
2017/11/10,2560
2017/11/13,2585
2017/11/14,2585
2017/11/15,2585
2017/11/16,2585
2017/11/17,2585
2017/11/20,2600
2017/11/21,2600
2017/11/22,2600
2017/11/23,2600
2017/11/24,2625
2017/11/27,2625
2017/11/28,2625
2017/11/29,2625
2017/11/30,2640
2017/12/1,2640
2017/12/4,2640
2017/12/5,2640
2017/12/6,2665
2017/12/7,2665
2017/12/8,2665
2017/12/11,2685
2017/12/12,2685
2017/12/13,2685
2017/12/14,2685
2017/12/15,2685
2017/12/18,2685
2017/12/19,2685
2017/12/20,2685
2017/12/21,2685
2017/12/22,2685
2017/12/25,2685
2017/12/26,2685
2017/12/27,2685
2017/12/28,2685
2017/12/29,2685
2018/1/2,2685
2018/1/3,2685
2018/1/4,2685
2018/1/5,2685
2018/1/8,2590
2018/1/9,2590
2018/1/10,2590
2018/1/11,2585
2018/1/12,2585
2018/1/15,2585
2018/1/16,2585
2018/1/17,2585
2018/1/18,2585
2018/1/19,2585
2018/1/22,2600
2018/1/23,2600
2018/1/24,2600
2018/1/25,2600
2018/1/26,2600
2018/1/29,2600
2018/1/30,2600
2018/1/31,2645
2018/2/1,2645
2018/2/2,2695
2018/2/5,2695
2018/2/6,2695
2018/2/7,2695
2018/2/8,2695
2018/2/9,2695
2018/2/12,2695
2018/2/13,2695
2018/2/14,2695
2018/2/22,2695
2018/2/23,2695
2018/2/26,2695
2018/2/27,2695
2018/2/28,2695
2018/3/1,2695
2018/3/2,2695
2018/3/5,2695
2018/3/6,2695
2018/3/7,2695
2018/3/8,2695
2018/3/9,2695
2018/3/12,2695
2018/3/13,2725
2018/3/14,2725
2018/3/15,2725
2018/3/16,2725
2018/3/19,2725
2018/3/20,2735
2018/3/21,2735
2018/3/22,2735
2018/3/23,2735
2018/3/26,2735
2018/3/27,2735
2018/3/28,2735
2018/3/29,2735
2018/3/30,2735
2018/4/2,2760
2018/4/3,2760
2018/4/4,2760
2018/4/9,2760
2018/4/10,2760
2018/4/11,2760
2018/4/12,2760
2018/4/13,2760
2018/4/16,2775
2018/4/17,2775
2018/4/18,2775
2018/4/19,2790
2018/4/20,2790
2018/4/23,2820
2018/4/24,2820
2018/4/25,2820
2018/4/26,2820
2018/4/27,2850
2018/5/2,2875
2018/5/3,2875
2018/5/4,2875
2018/5/7,2985
2018/5/8,2985
2018/5/9,2985
2018/5/10,2985
2018/5/11,2985
2018/5/14,3010
2018/5/15,3025
2018/5/16,3025
2018/5/17,3025
2018/5/18,3025
2018/5/21,3095
2018/5/22,3170
2018/5/23,3170
2018/5/24,3170
2018/5/25,3170
2018/5/28,3195
2018/5/29,3220
2018/5/30,3220
2018/5/31,3220
2018/6/1,3220
2018/6/4,3270
2018/6/5,3320
2018/6/6,3320
2018/6/7,3320
2018/6/8,3320
2018/6/11,3335
2018/6/12,3335
2018/6/13,3335
2018/6/14,3335
2018/6/15,3335
2018/6/19,3335
2018/6/20,3335
2018/6/21,3310
2018/6/22,3310
2018/6/25,3310
2018/6/26,3310
2018/6/27,3310
2018/6/28,3310
2018/6/29,3310
2018/7/2,3310
2018/7/3,3310
2018/7/4,3310
2018/7/5,3310
2018/7/6,3310
2018/7/9,3310
2018/7/10,3310
2018/7/11,3310
2018/7/12,3285
2018/7/13,3285
2018/7/16,3285
2018/7/17,3285
2018/7/18,3285
2018/7/19,3285
2018/7/20,3285
2018/7/23,3285
2018/7/24,3285
2018/7/25,3285
2018/7/26,3285
2018/7/27,3285
2018/7/30,3285
2018/7/31,3285
2018/8/1,3335
2018/8/2,3335
2018/8/3,3335
2018/8/6,3360
2018/8/7,3360
2018/8/8,3360
2018/8/9,3360
2018/8/10,3360
2018/8/13,3410
2018/8/14,3435
2018/8/15,3435
2018/8/16,3435
2018/8/17,3435
2018/8/20,3460
2018/8/21,3485
2018/8/22,3485
2018/8/23,3485
2018/8/24,3485
2018/8/27,3585
2018/8/28,3585
2018/8/29,3585
2018/8/30,3585
2018/8/31,3585
2018/9/3,3705
2018/9/4,3705
2018/9/5,3705
2018/9/6,3705
2018/9/7,3705
2018/9/10,3875
2018/9/11,3875
2018/9/12,3875
2018/9/13,3875
2018/9/14,3875
2018/9/17,3935
2018/9/18,3940
2018/9/19,3940
2018/9/20,3940
2018/9/21,3975
2018/9/25,3975
2018/9/26,3975
2018/9/27,3975
2018/9/28,3975
2018/10/8,3975
2018/10/9,3975
2018/10/10,3975
2018/10/11,3975
2018/10/12,3975
2018/10/15,3975
2018/10/16,3975
2018/10/17,3975
2018/10/18,3975
2018/10/19,3975
2018/10/22,3975
2018/10/23,3975
2018/10/24,3975
2018/10/25,3975
2018/10/26,3975
2018/10/29,3975
2018/10/30,3975
2018/10/31,3975
2018/11/1,3975
2018/11/2,3975
2018/11/5,3975
2018/11/6,3975
2018/11/7,3915
2018/11/8,3915
2018/11/9,3915
2018/11/12,3915
2018/11/13,3915
2018/11/14,3915
2018/11/15,3915
2018/11/16,3915
2018/11/19,3915
2018/11/20,3915
2018/11/21,3915
2018/11/22,3915
2018/11/23,3915
2018/11/26,3535
2018/11/27,3535
2018/11/28,3335
2018/11/29,3335
2018/11/30,3335
2018/12/3,3235
2018/12/4,3235
2018/12/5,3235
2018/12/6,3235
2018/12/7,3235
2018/12/10,3235
2018/12/11,3020
2018/12/12,3020
2018/12/13,3020
2018/12/14,3020
2018/12/17,3020
2018/12/18,3020
2018/12/19,3020
2018/12/20,3020
2018/12/21,3020
2018/12/24,3020
2018/12/25,3020
2018/12/26,3020
2018/12/27,3020
2018/12/28,3020
2019/1/2,2920
2019/1/3,2920
2019/1/4,2920
2019/1/7,2920
2019/1/8,2920
2019/1/9,2920
2019/1/10,2920
2019/1/11,2920
2019/1/14,2920
2019/1/15,2920
2019/1/16,2920
2019/1/17,2920
