date,BZ
2009/1/1,300
2009/1/2,310
2009/1/5,324
2009/1/6,335
2009/1/7,340
2009/1/8,329
2009/1/9,329
2009/1/12,336
2009/1/13,336
2009/1/14,337
2009/1/15,353
2009/1/16,355
2009/1/19,383
2009/1/20,360
2009/1/21,360
2009/1/22,359
2009/1/23,368
2009/1/26,368
2009/1/27,368
2009/1/28,368
2009/1/29,365
2009/1/30,368
2009/2/2,381
2009/2/3,387
2009/2/4,392
2009/2/5,397
2009/2/6,415
2009/2/9,435
2009/2/10,445
2009/2/11,441
2009/2/12,453
2009/2/13,453
2009/2/16,453
2009/2/17,431
2009/2/18,401
2009/2/19,374
2009/2/20,393
2009/2/23,391
2009/2/24,383
2009/2/25,368
2009/2/26,383
2009/2/27,407
2009/3/2,405
2009/3/3,391
2009/3/4,400
2009/3/5,405
2009/3/6,397
2009/3/9,408
2009/3/10,428
2009/3/11,439
2009/3/12,442
2009/3/13,450
2009/3/16,431
2009/3/17,439
2009/3/18,443
2009/3/19,455
2009/3/20,465
2009/3/23,467
2009/3/24,489
2009/3/25,502
2009/3/26,539
2009/3/27,591
2009/3/30,580
2009/3/31,576
2009/4/1,572
2009/4/2,566
2009/4/3,588
2009/4/6,613
2009/4/7,637
2009/4/8,653
2009/4/9,654
2009/4/10,654
2009/4/13,654
2009/4/14,653
2009/4/15,651
2009/4/16,651
2009/4/17,635
2009/4/20,628
2009/4/21,580
2009/4/22,588
2009/4/23,611
2009/4/24,604
2009/4/27,616
2009/4/28,574
2009/4/29,578
2009/4/30,576
2009/5/1,576
2009/5/4,583
2009/5/5,600
2009/5/6,610
2009/5/7,615
2009/5/8,629
2009/5/11,656
2009/5/12,671
2009/5/13,661
2009/5/14,627
2009/5/15,616
2009/5/18,593
2009/5/19,632
2009/5/20,637
2009/5/21,622
2009/5/22,618
2009/5/25,614
2009/5/26,612
2009/5/27,626
2009/5/28,645
2009/5/29,640
2009/6/1,670
2009/6/2,674
2009/6/3,675
2009/6/4,675
2009/6/5,689
2009/6/8,689
2009/6/9,727
2009/6/10,790
2009/6/11,786
2009/6/12,783
2009/6/15,766
2009/6/16,755
2009/6/17,771
2009/6/18,768
2009/6/19,775
2009/6/22,771
2009/6/23,764
2009/6/24,765
2009/6/25,776
2009/6/26,805
2009/6/29,807
2009/6/30,829
2009/7/1,820
2009/7/2,857
2009/7/3,849
2009/7/6,843
2009/7/7,839
2009/7/8,828
2009/7/9,808
2009/7/10,785
2009/7/13,795
2009/7/14,796
2009/7/15,814
2009/7/16,841
2009/7/17,861
2009/7/20,862
2009/7/21,848
2009/7/22,843
2009/7/23,843
2009/7/24,860
2009/7/27,862
2009/7/28,885
2009/7/29,860
2009/7/30,845
2009/7/31,856
2009/8/3,868
2009/8/4,887
2009/8/5,915
2009/8/6,914
2009/8/7,910
2009/8/10,910
2009/8/11,872
2009/8/12,847
2009/8/13,848
2009/8/14,843
2009/8/17,813
2009/8/18,814
2009/8/19,829
2009/8/20,827
2009/8/21,801
2009/8/24,811
2009/8/25,786
2009/8/26,778
2009/8/27,771
2009/8/28,793
2009/8/31,791
2009/9/1,777
2009/9/2,785
2009/9/3,776
2009/9/4,789
2009/9/7,789
2009/9/8,780
2009/9/9,804
2009/9/10,809
2009/9/11,815
2009/9/14,799
2009/9/15,783
2009/9/16,798
2009/9/17,798
2009/9/18,769
2009/9/21,769
2009/9/22,745
2009/9/23,746
2009/9/24,714
2009/9/25,704
2009/9/28,709
2009/9/29,698
2009/9/30,689
2009/10/1,699
2009/10/2,698
2009/10/5,709
2009/10/6,719
2009/10/7,728
2009/10/8,739
2009/10/9,765
2009/10/12,764
2009/10/13,772
2009/10/14,777
2009/10/15,775
2009/10/16,785
2009/10/19,781
2009/10/20,799
2009/10/21,786
2009/10/22,799
2009/10/23,797
2009/10/26,795
2009/10/27,791
2009/10/28,793
2009/10/29,774
2009/10/30,787
2009/11/2,779
2009/11/3,780
2009/11/4,795
2009/11/5,816
2009/11/6,825
2009/11/9,832
2009/11/10,840
2009/11/11,851
2009/11/12,851
2009/11/13,846
2009/11/16,841
2009/11/17,863
2009/11/18,891
2009/11/19,901
2009/11/20,917
2009/11/23,915
2009/11/24,915
2009/11/25,901
2009/11/26,909
2009/11/27,909
2009/11/30,895
2009/12/1,908
2009/12/2,937
2009/12/3,957
2009/12/4,960
2009/12/7,958
2009/12/8,949
2009/12/9,935
2009/12/10,899
2009/12/11,913
2009/12/14,911
2009/12/15,912
2009/12/16,927
2009/12/17,954
2009/12/18,970
2009/12/21,992
2009/12/22,983
2009/12/23,978
2009/12/24,1008
2009/12/25,1008
2009/12/28,1009
2009/12/29,1034
2009/12/30,1041
2009/12/31,1044
2010/1/1,1044
2010/1/4,1055
2010/1/5,1099
2010/1/6,1087
2010/1/7,1092
2010/1/8,1060
2010/1/11,1080
2010/1/12,1080
2010/1/13,1038
2010/1/14,1028
2010/1/15,1028
2010/1/18,1029
2010/1/19,1044
2010/1/20,1049
2010/1/21,1049
2010/1/22,1048
2010/1/25,1033
2010/1/26,1007
2010/1/27,992
2010/1/28,932
2010/1/29,932
2010/2/1,934
2010/2/2,949
2010/2/3,970
2010/2/4,958
2010/2/5,933
2010/2/8,922
2010/2/9,916
2010/2/10,920
2010/2/11,913
2010/2/12,898
2010/2/15,898
2010/2/16,898
2010/2/17,912
2010/2/18,933
2010/2/19,958
2010/2/22,944
2010/2/23,948
2010/2/24,933
2010/2/25,928
2010/2/26,909
2010/3/1,915
2010/3/2,910
2010/3/3,888
2010/3/4,860
2010/3/5,874
2010/3/8,894
2010/3/9,890
2010/3/10,901
2010/3/11,903
2010/3/12,920
2010/3/15,915
2010/3/16,918
2010/3/17,946
2010/3/18,960
2010/3/19,959
2010/3/22,940
2010/3/23,946
2010/3/24,951
2010/3/25,964
2010/3/26,977
2010/3/29,984
2010/3/30,1006
2010/3/31,990
2010/4/1,985
2010/4/2,985
2010/4/5,1014
2010/4/6,1015
2010/4/7,1012
2010/4/8,990
2010/4/9,997
2010/4/12,999
2010/4/13,1001
2010/4/14,999
2010/4/15,1000
2010/4/16,1003
2010/4/19,984
2010/4/20,990
2010/4/21,999
2010/4/22,997
2010/4/23,994
2010/4/26,1002
2010/4/27,1003
2010/4/28,993
2010/4/29,992
2010/4/30,996
2010/5/3,998
2010/5/4,998
2010/5/5,990
2010/5/6,974
2010/5/7,960
2010/5/10,978
2010/5/11,969
2010/5/12,970
2010/5/13,972
2010/5/14,944
2010/5/17,883
2010/5/18,903
2010/5/19,877
2010/5/20,843
2010/5/21,803
2010/5/24,826
2010/5/25,776
2010/5/26,790
2010/5/27,832
2010/5/28,832
2010/5/31,842
2010/6/1,813
2010/6/2,798
2010/6/3,818
2010/6/4,815
2010/6/7,788
2010/6/8,790
2010/6/9,803
2010/6/10,809
2010/6/11,807
2010/6/14,810
2010/6/15,808
2010/6/16,813
2010/6/17,802
2010/6/18,807
2010/6/21,820
2010/6/22,813
2010/6/23,809
2010/6/24,802
2010/6/25,799
2010/6/28,799
2010/6/29,792
2010/6/30,784
2010/7/1,788
2010/7/2,769
2010/7/5,771
2010/7/6,776
2010/7/7,775
2010/7/8,787
2010/7/9,785
2010/7/12,780
2010/7/13,759
2010/7/14,767
2010/7/15,761
2010/7/16,764
2010/7/19,775
2010/7/20,777
2010/7/21,790
2010/7/22,792
2010/7/23,817
2010/7/26,841
2010/7/27,841
2010/7/28,833
2010/7/29,826
2010/7/30,834
2010/8/2,852
2010/8/3,885
2010/8/4,866
2010/8/5,850
2010/8/6,851
2010/8/9,851
2010/8/10,849
2010/8/11,835
2010/8/12,820
2010/8/13,820
2010/8/16,840
2010/8/17,860
2010/8/18,850
2010/8/19,862
2010/8/20,862
2010/8/23,865
2010/8/24,854
2010/8/25,845
2010/8/26,855
2010/8/27,851
2010/8/30,853
2010/8/31,840
2010/9/1,830
2010/9/2,845
2010/9/3,849
2010/9/6,848
2010/9/7,841
2010/9/8,842
2010/9/9,846
2010/9/10,846
2010/9/13,865
2010/9/14,862
2010/9/15,848
2010/9/16,854
2010/9/17,867
2010/9/20,867
2010/9/21,873
2010/9/22,874
2010/9/23,865
2010/9/24,869
2010/9/27,878
2010/9/28,868
2010/9/29,867
2010/9/30,874
2010/10/1,903
2010/10/4,910
2010/10/5,905
2010/10/6,917
2010/10/7,938
2010/10/8,923
2010/10/11,931
2010/10/12,926
2010/10/13,933
2010/10/14,962
2010/10/15,958
2010/10/18,979
2010/10/19,988
2010/10/20,981
2010/10/21,970
2010/10/22,959
2010/10/25,966
2010/10/26,967
2010/10/27,945
2010/10/28,932
2010/10/29,932
2010/11/1,930
2010/11/2,938
2010/11/3,929
2010/11/4,941
2010/11/5,941
2010/11/8,972
2010/11/9,978
2010/11/10,969
2010/11/11,969
2010/11/12,941
2010/11/15,925
2010/11/16,918
2010/11/17,918
2010/11/18,921
2010/11/19,924
2010/11/22,926
2010/11/23,918
2010/11/24,921
2010/11/25,926
2010/11/26,917
2010/11/29,928
2010/11/30,934
2010/12/1,953
2010/12/2,968
2010/12/3,966
2010/12/6,973
2010/12/7,977
2010/12/8,974
2010/12/9,974
2010/12/10,978
2010/12/13,990
2010/12/14,1002
2010/12/15,994
2010/12/16,988
2010/12/17,987
2010/12/20,991
2010/12/21,1002
2010/12/22,1020
2010/12/23,1038
2010/12/24,1037
2010/12/27,1037
2010/12/28,1038
2010/12/29,1052
2010/12/30,1042
2010/12/31,1024
2011/1/3,1024
2011/1/4,1057
2011/1/5,1040
2011/1/6,1051
2011/1/7,1056
2011/1/10,1074
2011/1/11,1069
2011/1/12,1066
2011/1/13,1080
2011/1/14,1093
2011/1/17,1114
2011/1/18,1103
2011/1/19,1128
2011/1/20,1136
2011/1/21,1115
2011/1/24,1130
2011/1/25,1119
2011/1/26,1132
2011/1/27,1163
2011/1/28,1138
2011/1/31,1139
2011/2/1,1131
2011/2/2,1129
2011/2/3,1129
2011/2/4,1129
2011/2/7,1128
2011/2/8,1129
2011/2/9,1133
2011/2/10,1150
2011/2/11,1161
2011/2/14,1154
2011/2/15,1167
2011/2/16,1160
2011/2/17,1170
2011/2/18,1186
2011/2/21,1195
2011/2/22,1237
2011/2/23,1223
2011/2/24,1220
2011/2/25,1183
2011/2/28,1184
2011/3/1,1180
2011/3/2,1180
2011/3/3,1180
2011/3/4,1181
2011/3/7,1188
2011/3/8,1157
2011/3/9,1140
2011/3/10,1141
2011/3/11,1174
2011/3/14,1183
2011/3/15,1213
2011/3/16,1180
2011/3/17,1180
2011/3/18,1199
2011/3/21,1183
2011/3/22,1178
2011/3/23,1166
2011/3/24,1163
2011/3/25,1149
2011/3/28,1144
2011/3/29,1137
2011/3/30,1135
2011/3/31,1149
2011/4/1,1156
2011/4/4,1172
2011/4/5,1169
2011/4/6,1176
2011/4/7,1177
2011/4/8,1191
2011/4/11,1208
2011/4/12,1184
2011/4/13,1179
2011/4/14,1198
2011/4/15,1184
2011/4/18,1192
2011/4/19,1180
2011/4/20,1201
2011/4/21,1217
2011/4/22,1217
2011/4/25,1222
2011/4/26,1214
2011/4/27,1218
2011/4/28,1238
2011/4/29,1226
2011/5/2,1226
2011/5/3,1239
2011/5/4,1223
2011/5/5,1218
2011/5/6,1143
2011/5/9,1187
2011/5/10,1205
2011/5/11,1210
2011/5/12,1179
2011/5/13,1183
2011/5/16,1170
2011/5/17,1170
2011/5/18,1154
2011/5/19,1157
2011/5/20,1132
2011/5/23,1117
2011/5/24,1122
2011/5/25,1130
2011/5/26,1137
2011/5/27,1120
2011/5/30,1127
2011/5/31,1135
2011/6/1,1140
2011/6/2,1115
2011/6/3,1122
2011/6/6,1103
2011/6/7,1088
2011/6/8,1095
2011/6/9,1098
2011/6/10,1108
2011/6/13,1085
2011/6/14,1092
2011/6/15,1099
2011/6/16,1084
2011/6/17,1075
2011/6/20,1072
2011/6/21,1088
2011/6/22,1088
2011/6/23,1088
2011/6/24,1065
2011/6/27,1046
2011/6/28,1042
2011/6/29,1055
2011/6/30,1064
2011/7/1,1053
2011/7/4,1057
2011/7/5,1061
2011/7/6,1074
2011/7/7,1079
2011/7/8,1124
2011/7/11,1112
2011/7/12,1100
2011/7/13,1134
2011/7/14,1136
2011/7/15,1144
2011/7/18,1160
2011/7/19,1161
2011/7/20,1193
2011/7/21,1175
2011/7/22,1170
2011/7/25,1170
2011/7/26,1180
2011/7/27,1190
2011/7/28,1189
2011/7/29,1203
2011/8/1,1251
2011/8/2,1237
2011/8/3,1219
2011/8/4,1207
2011/8/5,1152
2011/8/8,1131
2011/8/9,1131
2011/8/10,1147
2011/8/11,1152
2011/8/12,1147
2011/8/15,1147
2011/8/16,1136
2011/8/17,1144
2011/8/18,1137
2011/8/19,1097
2011/8/22,1098
2011/8/23,1118
2011/8/24,1130
2011/8/25,1137
2011/8/26,1136
2011/8/29,1129
2011/8/30,1129
2011/8/31,1153
2011/9/1,1150
2011/9/2,1152
2011/9/5,1139
2011/9/6,1133
2011/9/7,1130
2011/9/8,1129
2011/9/9,1124
2011/9/12,1105
2011/9/13,1109
2011/9/14,1101
2011/9/15,1091
2011/9/16,1103
2011/9/19,1093
2011/9/20,1076
2011/9/21,1074
2011/9/22,1060
2011/9/23,1040
2011/9/26,1016
2011/9/27,1025
2011/9/28,1039
2011/9/29,1028
2011/9/30,1030
2011/10/3,1009
2011/10/4,981
2011/10/5,962
2011/10/6,965
2011/10/7,978
2011/10/10,978
2011/10/11,987
2011/10/12,1013
2011/10/13,1006
2011/10/14,1006
2011/10/17,1018
2011/10/18,1000
2011/10/19,999
2011/10/20,964
2011/10/21,974
2011/10/24,976
2011/10/25,989
2011/10/26,989
2011/10/27,991
2011/10/28,1001
2011/10/31,982
2011/11/1,970
2011/11/2,978
2011/11/3,975
2011/11/4,1001
2011/11/7,1001
2011/11/8,1011
2011/11/9,1000
2011/11/10,985
2011/11/11,985
2011/11/14,988
2011/11/15,980
2011/11/16,980
2011/11/17,972
2011/11/18,967
2011/11/21,958
2011/11/22,951
2011/11/23,952
2011/11/24,948
2011/11/25,941
2011/11/28,956
2011/11/29,956
2011/11/30,966
2011/12/1,976
2011/12/2,981
2011/12/5,1002
2011/12/6,1002
2011/12/7,1028
2011/12/8,1031
2011/12/9,1016
2011/12/12,1019
2011/12/13,1013
2011/12/14,1023
2011/12/15,1016
2011/12/16,1033
2011/12/19,1039
2011/12/20,1054
2011/12/21,1066
2011/12/22,1058
2011/12/23,1048
2011/12/26,1048
2011/12/27,1052
2011/12/28,1061
2011/12/29,1063
2011/12/30,1070
2012/1/2,1070
2012/1/3,1094
2012/1/4,1113
2012/1/5,1133
2012/1/6,1126
2012/1/9,1134
2012/1/10,1150
2012/1/11,1157
2012/1/12,1171
2012/1/13,1173
2012/1/16,1168
2012/1/17,1175
2012/1/18,1201
2012/1/19,1219
2012/1/20,1201
2012/1/23,1201
2012/1/24,1201
2012/1/25,1199
2012/1/26,1193
2012/1/27,1184
2012/1/30,1172
2012/1/31,1175
2012/2/1,1174
2012/2/2,1174
2012/2/3,1173
2012/2/6,1192
2012/2/7,1194
2012/2/8,1197
2012/2/9,1191
2012/2/10,1183
2012/2/13,1188
2012/2/14,1187
2012/2/15,1184
2012/2/16,1188
2012/2/17,1191
2012/2/20,1200
2012/2/21,1199
2012/2/22,1200
2012/2/23,1195
2012/2/24,1200
2012/2/27,1205
2012/2/28,1194
2012/2/29,1191
2012/3/1,1191
2012/3/2,1210
2012/3/5,1205
2012/3/6,1202
2012/3/7,1190
2012/3/8,1194
2012/3/9,1195
2012/3/12,1196
2012/3/13,1193
2012/3/14,1191
2012/3/15,1189
2012/3/16,1181
2012/3/19,1182
2012/3/20,1178
2012/3/21,1177
2012/3/22,1177
2012/3/23,1176
2012/3/26,1181
2012/3/27,1191
2012/3/28,1190
2012/3/29,1184
2012/3/30,1181
2012/4/2,1178
2012/4/3,1181
2012/4/4,1178
2012/4/5,1178
2012/4/6,1178
2012/4/9,1177
2012/4/10,1177
2012/4/11,1171
2012/4/12,1173
2012/4/13,1178
2012/4/16,1174
2012/4/17,1172
2012/4/18,1178
2012/4/19,1188
2012/4/20,1193
2012/4/23,1199
2012/4/24,1201
2012/4/25,1190
2012/4/26,1187
2012/4/27,1188
2012/4/30,1188
2012/5/1,1188
2012/5/2,1193
2012/5/3,1196
2012/5/4,1202
2012/5/7,1179
2012/5/8,1180
2012/5/9,1169
2012/5/10,1170
2012/5/11,1175
2012/5/14,1124
2012/5/15,1113
2012/5/16,1084
2012/5/17,1081
2012/5/18,1069
2012/5/21,1074
2012/5/22,1091
2012/5/23,1093
2012/5/24,1082
2012/5/25,1093
2012/5/28,1094
2012/5/29,1104
2012/5/30,1095
2012/5/31,1060
2012/6/1,1050
2012/6/4,962
2012/6/5,971
2012/6/6,994
2012/6/7,1015
2012/6/8,1014
2012/6/11,1033
2012/6/12,1000
2012/6/13,989
2012/6/14,991
2012/6/15,1001
2012/6/18,1014
2012/6/19,1001
2012/6/20,1020
2012/6/21,1023
2012/6/22,1016
2012/6/25,1012
2012/6/26,1039
2012/6/27,1064
2012/6/28,1058
2012/6/29,1055
2012/7/2,1072
2012/7/3,1077
2012/7/4,1131
2012/7/5,1134
2012/7/6,1144
2012/7/9,1123
2012/7/10,1144
2012/7/11,1167
2012/7/12,1167
2012/7/13,1181
2012/7/16,1181
2012/7/17,1175
2012/7/18,1178
2012/7/19,1160
2012/7/20,1165
2012/7/23,1135
2012/7/24,1134
2012/7/25,1134
2012/7/26,1127
2012/7/27,1136
2012/7/30,1142
2012/7/31,1157
2012/8/1,1150
2012/8/2,1170
2012/8/3,1187
2012/8/6,1191
2012/8/7,1199
2012/8/8,1179
2012/8/9,1179
2012/8/10,1149
2012/8/13,1145
2012/8/14,1151
2012/8/15,1155
2012/8/16,1159
2012/8/17,1151
2012/8/20,1151
2012/8/21,1145
2012/8/22,1161
2012/8/23,1169
2012/8/24,1172
2012/8/27,1182
2012/8/28,1172
2012/8/29,1164
2012/8/30,1169
2012/8/31,1171
2012/9/3,1168
2012/9/4,1192
2012/9/5,1177
2012/9/6,1187
2012/9/7,1213
2012/9/10,1213
2012/9/11,1223
2012/9/12,1240
2012/9/13,1241
2012/9/14,1249
2012/9/17,1259
2012/9/18,1255
2012/9/19,1249
2012/9/20,1194
2012/9/21,1219
2012/9/24,1225
2012/9/25,1225
2012/9/26,1243
2012/9/27,1232
2012/9/28,1236
2012/10/1,1211
2012/10/2,1211
2012/10/3,1210
2012/10/4,1217
2012/10/5,1236
2012/10/8,1241
2012/10/9,1243
2012/10/10,1240
2012/10/11,1252
2012/10/12,1262
2012/10/15,1262
2012/10/16,1254
2012/10/17,1260
2012/10/18,1276
2012/10/19,1301
2012/10/22,1289
2012/10/23,1278
2012/10/24,1258
2012/10/25,1267
2012/10/26,1267
2012/10/29,1295
2012/10/30,1303
2012/10/31,1323
2012/11/1,1308
2012/11/2,1324
2012/11/5,1324
2012/11/6,1340
2012/11/7,1377
2012/11/8,1361
2012/11/9,1370
2012/11/12,1362
2012/11/13,1362
2012/11/14,1316
2012/11/15,1326
2012/11/16,1314
2012/11/19,1345
2012/11/20,1371
2012/11/21,1364
2012/11/22,1370
2012/11/23,1404
2012/11/26,1403
2012/11/27,1429
2012/11/28,1437
2012/11/29,1432
2012/11/30,1428
2012/12/3,1423
2012/12/4,1450
2012/12/5,1477
2012/12/6,1470
2012/12/7,1456
2012/12/10,1452
2012/12/11,1457
2012/12/12,1456
2012/12/13,1462
2012/12/14,1462
2012/12/17,1467
2012/12/18,1477
2012/12/19,1487
2012/12/20,1484
2012/12/21,1460
2012/12/24,1451
2012/12/25,1451
2012/12/26,1451
2012/12/27,1457
2012/12/28,1486
2012/12/31,1482
2013/1/1,1482
2013/1/2,1482
2013/1/3,1477
2013/1/4,1480
2013/1/7,1470
2013/1/8,1443
2013/1/9,1398
2013/1/10,1394
2013/1/11,1385
2013/1/14,1371
2013/1/15,1378
2013/1/16,1379
2013/1/17,1399
2013/1/18,1426
2013/1/21,1449
2013/1/22,1434
2013/1/23,1411
2013/1/24,1410
2013/1/25,1408
2013/1/28,1383
2013/1/29,1401
2013/1/30,1403
2013/1/31,1400
2013/2/1,1390
2013/2/4,1406
2013/2/5,1407
2013/2/6,1412
2013/2/7,1424
2013/2/8,1430
2013/2/11,1430
2013/2/12,1430
2013/2/13,1430
2013/2/14,1426
2013/2/15,1411
2013/2/18,1399
2013/2/19,1396
2013/2/20,1406
2013/2/21,1396
2013/2/22,1394
2013/2/25,1408
2013/2/26,1406
2013/2/27,1396
2013/2/28,1396
2013/3/1,1385
2013/3/4,1353
2013/3/5,1372
2013/3/6,1379
2013/3/7,1363
2013/3/8,1324
2013/3/11,1331
2013/3/12,1324
2013/3/13,1319
2013/3/14,1303
2013/3/15,1292
2013/3/18,1279
2013/3/19,1253
2013/3/20,1254
2013/3/21,1277
2013/3/22,1278
2013/3/25,1299
2013/3/26,1304
2013/3/27,1293
2013/3/28,1264
2013/3/29,1264
2013/4/1,1278
2013/4/2,1288
2013/4/3,1311
2013/4/4,1303
2013/4/5,1315
2013/4/8,1310
2013/4/9,1309
2013/4/10,1331
2013/4/11,1317
2013/4/12,1305
2013/4/15,1281
2013/4/16,1266
2013/4/17,1288
2013/4/18,1280
2013/4/19,1313
2013/4/22,1316
2013/4/23,1305
2013/4/24,1310
2013/4/25,1307
2013/4/26,1307
2013/4/29,1308
2013/4/30,1309
2013/5/1,1309
2013/5/2,1286
2013/5/3,1298
2013/5/6,1301
2013/5/7,1296
2013/5/8,1296
2013/5/9,1295
2013/5/10,1294
2013/5/13,1290
2013/5/14,1296
2013/5/15,1286
2013/5/16,1281
2013/5/17,1287
2013/5/20,1291
2013/5/21,1300
2013/5/22,1304
2013/5/23,1293
2013/5/24,1293
2013/5/27,1283
2013/5/28,1293
2013/5/29,1298
2013/5/30,1286
2013/5/31,1290
2013/6/3,1273
2013/6/4,1275
2013/6/5,1283
2013/6/6,1282
2013/6/7,1277
2013/6/10,1289
2013/6/11,1286
2013/6/12,1281
2013/6/13,1277
2013/6/14,1278
2013/6/17,1281
2013/6/18,1284
2013/6/19,1280
2013/6/20,1268
2013/6/21,1266
2013/6/24,1250
2013/6/25,1239
2013/6/26,1206
2013/6/27,1181
2013/6/28,1201
2013/7/1,1198
2013/7/2,1187
2013/7/3,1184
2013/7/4,1187
2013/7/5,1195
2013/7/8,1206
2013/7/9,1205
2013/7/10,1224
2013/7/11,1248
2013/7/12,1239
2013/7/15,1237
2013/7/16,1223
2013/7/17,1207
2013/7/18,1219
2013/7/19,1237
2013/7/22,1248
2013/7/23,1240
2013/7/24,1240
2013/7/25,1244
2013/7/26,1232
2013/7/29,1226
2013/7/30,1227
2013/7/31,1225
